Wall time,Step,Value
1746377911.7466319,42,2.9317901134490967
1746377918.377736,94,2.8955774307250977
1746377927.5629046,167,2.401271343231201
1746377935.631133,229,1.7304388284683228
1746377936.9029858,234,2.0281264781951904
1746377942.152852,273,1.718705415725708
1746377946.117874,308,2.2829809188842773
1746377947.0756676,310,1.3888963460922241
1746377947.3960235,318,1.8039947748184204
1746377982.3517225,474,2.231330394744873
1746377990.2292185,536,1.6582648754119873
1746377995.5851529,579,1.4587587118148804
1746377996.8030667,586,1.6591342687606812
1746378003.3071465,634,1.2453089952468872
1746378004.6413634,647,2.01503849029541
1746378013.6897523,714,1.9097588062286377
1746378014.9586604,722,2.028350830078125
1746378025.5512192,808,1.8004167079925537
1746378067.5494382,1014,1.637382984161377
1746378074.057559,1066,1.010351300239563
1746378079.1865199,1104,0.9508934020996094
1746378114.0246363,1261,1.4850356578826904
1746378120.6233602,1316,0.7502949237823486
1746378120.657749,1319,1.2030906677246094
1746378123.1440964,1333,1.0611989498138428
1746378123.1816938,1337,1.3134450912475586
1746378129.673389,1385,1.0745949745178223
1746378130.9450338,1392,1.5018320083618164
1746378136.2475717,1436,0.8528082370758057
1746378152.162609,1552,0.8547563552856445
1746378184.2359405,1691,0.8178749680519104
1746378189.4855413,1734,1.293860673904419
1746378189.527414,1737,1.3054591417312622
1746378207.6884725,1877,0.6561710834503174
1746378212.7943046,1917,1.2930240631103516
1746378228.489846,2036,0.6073439717292786
1746378250.9254086,2096,0.9832903146743774
1746378263.9605317,2199,0.703647255897522
1746378272.9188733,2262,0.9743629097938538
1746378278.25029,2307,0.8776988983154297
1746378288.7035797,2389,0.6733673214912415
1746378294.9561644,2436,1.1100984811782837
1746378315.9176722,2485,0.9995262622833252
1746378315.9287827,2486,0.5231664776802063
1746378317.2498033,2498,0.6766173243522644
1746378322.3076415,2532,1.1960899829864502
1746378341.9688406,2685,1.0869415998458862
1746378349.8470757,2740,0.5530518889427185
1746378392.9387124,2967,0.9091364145278931
1746378402.0684905,3038,0.6014841794967651
1746378427.7136815,3230,0.5017995834350586
1746378429.5198338,3246,0.5911656618118286
1746378452.239447,3305,0.6552562117576599
1746378492.47206,3618,0.5290270447731018
1746378493.4013097,3620,1.002449870109558
1746378499.9205089,3670,0.8659057021141052
1746378523.2068243,3741,0.7721570134162903
1746378532.6121304,3814,1.1602153778076172
1746378533.8422215,3821,0.6941742300987244
1746378547.029266,3928,0.6046656370162964
1746378550.9209392,3956,0.607430636882782
1746378561.2394478,4036,0.5046733617782593
1746378595.9653869,4196,0.30178898572921753
1746378611.4553947,4317,0.882435142993927
1746378622.8320858,4400,0.454321950674057
1746378634.6033986,4492,0.36703866720199585
1746378635.8692696,4509,0.3387143015861511
1746378671.3039896,4668,1.3250529766082764
1746378672.571071,4676,0.3802495002746582
1746378686.8296692,4788,0.6746059656143188
1746378725.1803057,4971,0.5616670846939087
1746378742.8259134,5106,0.3263871669769287
1746378746.7638588,5134,1.2591753005981445
1746378788.0371912,5345,0.7946637272834778
1746378789.3798294,5359,0.8277596831321716
1746378814.3175344,5549,0.6547971963882446
1746378831.3549163,5679,0.8718512654304504
1746378837.8460839,5723,0.7906240224838257
1746378862.492919,5808,0.7829324007034302
1746378870.1863055,5864,0.6470746994018555
1746378871.4032567,5871,0.6170129179954529
1746378875.5084004,5907,0.6914870142936707
1746378887.068724,5990,1.1595150232315063
1746378929.3083029,6200,0.5843253135681152
1746378930.8789852,6219,0.4864295423030853
1746378940.1366096,6289,0.6694430708885193
1746378992.6517375,6574,0.39736685156822205
1746378996.5465677,6603,0.5038880109786987
1746379008.4894433,6699,0.8427413105964661
1746379010.9468434,6711,0.9226939678192139
1746379029.6439707,6854,0.6250913143157959
1746379044.58344,6966,0.6932116746902466
1746379078.5010414,7114,0.9220720529556274
1746379083.8069901,7155,0.47776609659194946
1746379127.613683,7382,0.4471602141857147
1746379138.3035612,7460,0.44574400782585144
1746379138.355659,7463,1.2069512605667114
1746379139.79898,7478,0.4678668975830078
1746379144.8358374,7511,0.5040155053138733
1746379180.144884,7788,0.5766502618789673
1746379195.6362064,7798,0.5588386058807373
1746379200.77621,7833,0.7179352045059204
1746379221.724652,7991,0.3689129650592804
1746379230.8748653,8066,0.40408027172088623
1746379246.3470366,8180,0.44561341404914856
1746379266.589263,8221,0.46585625410079956
1746379285.1928937,8363,0.42641276121139526
1746379286.8364851,8377,0.35334205627441406
1746379302.5507731,8498,0.43013477325439453
1746379303.846222,8508,0.5169879794120789
1746379316.7080977,8601,0.29856303334236145
1746379366.756514,8878,0.2575641870498657
1746379373.265967,8928,0.251085489988327
1746379374.4910753,8935,0.5889103412628174
1746379382.3284569,8993,0.6137934923171997
1746379431.5698214,9260,0.2979625165462494
1746379471.7969198,9468,0.5372334122657776
1746379483.5169146,9554,0.5702693462371826
1746379484.868524,9567,0.32613494992256165
1746379500.0595508,9680,0.21127787232398987
1746379501.8040307,9698,0.3731645345687866
1746379535.4282556,9843,0.18058618903160095
1746379543.3596141,9907,0.5785348415374756
1746379605.0608592,10276,0.563339114189148
